step,label,scenario,n_unknown,technique,likelihood,risk_level
D5,assume-breach (all Dissatisfied),High Risk Scenario,0,ContainerPtraceInjection,VeryLikely,Major
D5,assume-breach (all Dissatisfied),High Risk Scenario,0,ContainerDataFromLocalSystem,VeryLikely,Significant
D5,assume-breach (all Dissatisfied),High Risk Scenario,0,ContainerExploitPublicFacingApp,VeryLikely,Major
D5,assume-breach (all Dissatisfied),High Risk Scenario,0,ContainerPtraceProcessDiscovery,Possible,Moderate
D4,technical controls absent,Rapid Prototype Scenario,17,ContainerPtraceInjection,VeryLikely,Major
D4,technical controls absent,Rapid Prototype Scenario,17,ContainerDataFromLocalSystem,VeryLikely,Significant
D4,technical controls absent,Rapid Prototype Scenario,17,ContainerExploitPublicFacingApp,VeryLikely,Major
D4,technical controls absent,Rapid Prototype Scenario,17,ContainerPtraceProcessDiscovery,Possible,Moderate
B0,"baseline (loose, no assumptions)",Hybrid Cloud Scenario,43,ContainerPtraceInjection,Possible,Significant
B0,"baseline (loose, no assumptions)",Hybrid Cloud Scenario,43,ContainerDataFromLocalSystem,Possible,Moderate
B0,"baseline (loose, no assumptions)",Hybrid Cloud Scenario,43,ContainerExploitPublicFacingApp,Unlikely,Moderate
B0,"baseline (loose, no assumptions)",Hybrid Cloud Scenario,43,ContainerPtraceProcessDiscovery,Unlikely,Moderate
D1,+ non-root + cap_drop,Hybrid Cloud Scenario,41,ContainerPtraceInjection,Possible,Significant
D1,+ non-root + cap_drop,Hybrid Cloud Scenario,41,ContainerDataFromLocalSystem,Possible,Moderate
D1,+ non-root + cap_drop,Hybrid Cloud Scenario,41,ContainerExploitPublicFacingApp,Unlikely,Moderate
D1,+ non-root + cap_drop,Hybrid Cloud Scenario,41,ContainerPtraceProcessDiscovery,Unlikely,Moderate
D2,technical controls verified,Balanced Container Security Scenario,17,ContainerPtraceInjection,VeryUnlikely,Moderate
D2,technical controls verified,Balanced Container Security Scenario,17,ContainerDataFromLocalSystem,VeryUnlikely,Minor
D2,technical controls verified,Balanced Container Security Scenario,17,ContainerExploitPublicFacingApp,VeryUnlikely,Minor
D2,technical controls verified,Balanced Container Security Scenario,17,ContainerPtraceProcessDiscovery,VeryUnlikely,Minor
D3,all controls verified,Production Scenario,0,ContainerPtraceInjection,VeryUnlikely,Moderate
D3,all controls verified,Production Scenario,0,ContainerDataFromLocalSystem,VeryUnlikely,Minor
D3,all controls verified,Production Scenario,0,ContainerExploitPublicFacingApp,VeryUnlikely,Minor
D3,all controls verified,Production Scenario,0,ContainerPtraceProcessDiscovery,VeryUnlikely,Minor
